"Staten Island Rolling Sales File.  All Sales From January 1, 2011 - December 31, 2011.",,,,,,,,,,,,,,,,,,,,
Sales File as of 03/30/2012  Coop Sales Files as of 04/06/2012,,,,,,,,,,,,,,,,,,,,
"Neighborhood Name 04/01/12, Descriptive Data is as of 04/01/12",,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6257,90, ,A2, 10 BURCHARD COURT                         ,            ,10312,1,0,1,"6,138","1,086",1955, 1 , A2 ,"$300,000",1/25/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6259,10, ,A1, 250 DETROIT AVENUE                        ,            ,10312,1,0,1,"8,000","2,250",1980, 1 , A1 ,$0,10/6/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6259,10, ,A1, 250 DETROIT AVENUE                        ,            ,10312,1,0,1,"8,000","2,250",1980, 1 , A1 ,"$549,000",9/28/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6268,51, ,A1, 195 SINCLAIR AVENUE                       ,            ,10312,1,0,1,"4,000","2,600",1998, 1 , A1 ,$0,5/5/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6272,15, ,A1, 21 HOLCOMB AVENUE                         ,            ,10312,1,0,1,"8,000","1,960",1940, 1 , A1 ,$0,12/1/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6277,21, ,A1, 315 DETROIT AVENUE                        ,            ,10312,1,0,1,"6,000","1,912",1975, 1 , A1 ,"$550,000",8/24/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6277,68, ,A1, 338 EDGEGROVE AVENUE                      ,            ,10312,1,0,1,"4,000","2,620",1960, 1 , A1 ,$0,6/8/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6278,1, ,A2, 275 EDGEGROVE AVENUE                      ,            ,10312,1,0,1,"4,900","1,084",1955, 1 , A2 ,"$295,000",11/28/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6281,10, ,A1, 876 DRUMGOOLE ROAD EAST                   ,            ,10312,1,0,1,"4,212","3,480",1974, 1 , A1 ,"$760,000",6/22/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6281,40, ,A2, 387 EDGEGROVE AVENUE                      ,            ,10312,1,0,1,"6,000","1,596",1975, 1 , A2 ,"$526,500",4/8/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6298,19, ,A2, 84 RAMONA AVENUE                          ,            ,10312,1,0,1,"4,000","1,932",1975, 1 , A2 ,$0,2/8/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6298,21, ,A2, 78 RAMONA AVENUE                          ,            ,10312,1,0,1,"4,000","1,932",1975, 1 , A2 ,"$490,000",5/9/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6300,63, ,A1, 441 RATHBUN AVENUE                        ,            ,10312,1,0,1,"4,000","2,083",1970, 1 , A1 ,"$630,000",1/11/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6352,9, ,A1, 456 HOLDRIDGE AVENUE                      ,            ,10312,1,0,1,"4,000","1,750",1994, 1 , A1 ,$0,1/18/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6363,15, ,A1, 314 SHIRLEY AVENUE                        ,            ,10312,1,0,1,"6,000","1,168",1965, 1 , A1 ,$0,7/12/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6364,1, ,A1, 573 BARCLAY AVENUE                        ,            ,10312,1,0,1,"7,000","2,173",1975, 1 , A1 ,"$630,000",9/26/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6367,44, ,A1, 301 SHIRLEY AVENUE                        ,            ,10312,1,0,1,"8,000","2,512",1970, 1 , A1 ,"$875,000",10/7/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6378,65, ,A1, 135 EYLANDT STREET                        ,            ,10312,1,0,1,"4,000","2,192",1985, 1 , A1 ,$0,7/8/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6401,18, ,A1, 39 ALLEN PLACE                            ,            ,10312,1,0,1,"6,000","1,480",1955, 1 , A1 ,"$775,000",1/10/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6401,18, ,A1, 39 ALLEN PLACE                            ,            ,10312,1,0,1,"6,000","1,480",1955, 1 , A1 ,$0,1/10/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6406,6, ,A9, 542 BARCLAY AVENUE                        ,            ,10312,1,0,1,"4,000","2,150",1987, 1 , A9 ,$0,12/5/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6417,33, ,A1, 145 LIPSETT AVENUE                        ,            ,10312,1,0,1,"4,400","3,436",2001, 1 , A1 ,"$740,000",10/25/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6421,78, ,A1, 232 TALLMAN STREET                        ,            ,10312,1,0,1,"8,000","3,085",1980, 1 , A1 ,"$930,000",7/1/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6424,67, ,A1, 49 RAE AVENUE                             ,            ,10312,1,0,1,"8,000","2,100",1975, 1 , A1 ,$0,11/9/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6475,265, ,A3, 6 NICOLOSI LOOP                           ,            ,10312,1,0,1,"11,100","7,296",1990, 1 , A3 ,"$1,500,000",7/18/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6475,295, ,A3, 70 NICOLOSI LOOP                          ,            ,10312,1,0,1,"10,200","7,346",1989, 1 , A3 ,$0,6/10/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6499,30, ,A3, 490 JANSEN STREET                         ,            ,10312,1,0,1,"21,836","4,346",1985, 1 , A3 ,$0,4/18/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6511,22, ,A1, 16 RUGGLES STREET                         ,            ,10312,1,0,1,"7,500","1,254",1945, 1 , A1 ,"$456,500",7/8/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6517,225, ,A1, 30 GENTILE COURT                          ,            ,10312,1,0,1,"13,950","5,900",1999, 1 , A1 ,"$999,999",2/7/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6523,76, ,B2, ARBUTUS AVENUE                            ,            ,10312,2,0,2,"5,811","4,713",2010, 1 , A1 ,"$835,239",2/17/2011
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6205,94, ,B9, 43 SEGUINE PLACE                          ,            ,10312,2,0,2,"3,250","1,804",1986, 1 , B9 ,$0,1/7/2011
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6205,104, ,B9, 71 SEGUINE PLACE                          ,            ,10312,2,0,2,"2,900","1,804",1986, 1 , B9 ,$0,10/28/2011
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6209,74, ,B9, 185 MOSELY AVENUE                         ,            ,10312,2,0,2,"3,250","2,008",1986, 1 , B9 ,$0,5/18/2011
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6226,145, ,B2, 919 CARLTON BOULEVARD                     ,            ,10312,2,0,2,"5,600","2,579",1950, 1 , B2 ,$0,3/1/2011
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6233,47, ,B2, 600 ARDEN AVENUE                          ,            ,10312,2,0,2,"6,000","2,488",1975, 1 , B2 ,"$481,000",2/24/2011
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6233,47, ,B2, 600 ARDEN AVENUE                          ,            ,10312,2,0,2,"6,000","2,488",1975, 1 , B2 ,$0,1/19/2011
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6249,245, ,B2, 128 NORTH PINE TERRACE                    ,            ,10312,2,0,2,"4,000","2,008",1965, 1 , B2 ,"$462,500",4/21/2011
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6249,247, ,B2, 132 NORTH PINE TERRACE                    ,            ,10312,2,0,2,"4,000","2,008",1965, 1 , B2 ,"$530,000",1/26/2011
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6252,27, ,B2, 10 BUFFINGTON AVENUE                      ,            ,10312,2,0,2,"6,000","2,440",1985, 1 , B2 ,"$695,000",4/11/2011
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6254,103, ,B9, 83 SOUTH RAILROAD ST                      ,            ,10312,2,0,2,"6,080","2,802",1993, 1 , B9 ,$0,5/31/2011
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6265,39, ,B2, 286 JEFFERSON BOULEVARD                   ,            ,10312,2,0,2,"6,000","2,758",1975, 1 , B2 ,"$548,000",6/23/2011
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6272,13, ,B2, 25 HOLCOMB AVENUE                         ,            ,10312,2,0,2,"8,000","2,386",1975, 1 , B2 ,$0,12/1/2011
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6302,1, ,B2, 460 SINCLAIR AVENUE                       ,            ,10312,2,0,2,"4,800","2,440",1984, 1 , B2 ,"$538,000",10/19/2011
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6304,31, ,B1, 370 VINELAND AVENUE                       ,            ,10312,2,0,2,"5,900","3,136",1980, 1 , B1 ,"$580,000",12/13/2011
